Dataset Name;Image Name;Characteristics [Organism];Term Source 1 REF;Term Source 1 Accession;Characteristics [Cell Line];Term Source 2 REF;Term Source 2 Accession;Comment [Cell Line];Characteristics [Cell Cycle Phase];Term Source 3 REF;Term Source 3 Accession;Experimental Condition [Sister Chromatid Labelling];Experimental Condition [Genome Editing];Experimental Condition [ # fill in];Comment [Gene Identifier];Comment [Gene Symbol];Comment [Gene Annotation Comments];Assay Name;Source Name;Image File;Comment [Image File Path];Comment [Image File Type];Channels;Processed Data File
WT_Prophase;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #01.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_1;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #01.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #02.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_2;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #02.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #07.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_3;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #07.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #08.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_4;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #08.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #11.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_5;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #11.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #12.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_6;220207_5389_WT_c1_rep1_prophase_60min_stlc_hemi_zoom5-01-47.czi #12.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #1.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_7;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #1.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt, idr0000_experiment2_processed_axis_organisation.txt, idr0000_experiment2_processed_mean_curves.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #2.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_8;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #2.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt, idr0000_experiment2_processed_axis_organisation.txt, idr0000_experiment2_processed_mean_curves.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #3.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_9;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #3.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt
WT_Prophase;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #4.tif_registered.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Late prophase;NCIT;NCIT_C17014;One sister;;wt_late_prophase_one_sister;ENSG00000113810;SMC4;;sister_chromatid_labelling;wt_late_prophase_one_sister_cell_10;220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #4.tif_registered.tif;idr_upload/images/experiment2/wt_late_prophase/wt_late_prophase_one_sister;processed;cyclin_b1, smc4, f-ara-edu, hoechst;idr0000_experiment2_processed_sister_chromatid_labelling.txt, idr0000_experiment2_processed_axis_organisation.txt, idr0000_experiment2_processed_mean_curves.txt
