image_name	condition	spearman_correlation_coefficient	separation_score	figure_panel
5303_2108_ON_G2_ctrl_siRNA_wapl_depleted_prometa_hemi_zoom5_rep1_stain_scc1_cycb1-02-08..czi #2.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.587893779172798	0.784191	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_depleted_prometa_hemi_zoom5_rep1_stain_scc1_cycb1-02-08.czi #1.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.479225016530328	1.069861	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_depleted_prometa_hemi_zoom5_rep1_stain_scc1_cycb1-03-09.czi #1.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.547633690789978	0.890027	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_depleted_prometa_hemi_zoom5_rep1_stain_scc1_cycb1-03-09.czi #2.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.542799519814104	0.902735	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_depleted_prometa_hemi_zoom5_rep1_stain_scc1_cycb1-06-11.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.472771789381193	1.086825	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-03-15-16.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.568054963020399	0.836343	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-03-15-17.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.504179313353958	1.00426	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-03-15-18.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.451038646600141	1.143957	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-04-22.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.554062217361075	0.873128	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-05-24.czi #1.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.545370529187458	0.895977	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-05-24.czi #2.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.492867440391318	1.033997	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-05-24.czi #3.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.535225330558925	0.922646	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-05-24.czi #4.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.478312698658579	1.072259	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-05-24.czi #5.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.556199418669202	0.867509	Fig4b
5303_2108_wapl_depleted_ON_G2_hemi_prometa_zoom5_rep2stain_smc4_cycb1-06-25.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.499234788583085	1.017259	Fig4b
230306_2108_compensation_wapl_dep_stlc_rep1_hemi-02-70.czi #1.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.476400345363053	1.077286	Fig4b
230306_2108_compensation_wapl_dep_stlc_rep1_hemi-02-70.czi #2.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.575446581078082	0.816912	Fig4b
230306_2108_compensation_wapl_dep_stlc_rep1_hemi-02-70.czi #3.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.649694740759669	0.621728	Fig4b
230306_2108_compensation_wapl_dep_stlc_rep1_hemi-02-70.czi #4.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.561887883485348	0.852556	Fig4b
230306_2108_compensation_wapl_dep_stlc_rep1_hemi-02-70.czi #5.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.493319141005282	1.03281	Fig4b
230306_2108_compensation_wapl_dep_stlc_rep1_hemi-02-70.czi #6.tif_registered.tif	wapl_dep_prometa_one_sister_labelled	0.525414005228299	0.948438	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-01-03.czi #2.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.681036099585057	0.539337	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-02-03.czi #1.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.674708589148443	0.555971	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-02-03.czi #3.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.615360017158244	0.711987	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-02-03.czi #4.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.622019331947962	0.694481	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-05-02.czi #01.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.680582650137265	0.540529	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-05-02.czi #03.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.697668327741492	0.495614	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-05-02.czi #06.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.681929411059898	0.536989	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-05-02.czi #07.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.73766162935692	0.390479	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-05-02.czi #08.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.665674115443812	0.579721	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_hemi_zoom4_8_prometa_rep1_smc4_cycb1-05-02.czi #10.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.641637334925357	0.642909	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_prometa_hemi_zoom4.5_rep1_stain_scc1_cycb1-06-19.czi #1.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.586132993518629	0.78882	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_prometa_hemi_zoom4.5_rep1_stain_scc1_cycb1-06-19.czi #2.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.62794155968257	0.678913	Fig4b
5303_2108_ON_G2_ctrl_siRNA_wapl_smc4_depleted_prometa_hemi_zoom4.5_rep1_stain_scc1_cycb1-06-19.czi #3.tif_registered.tif	wapl_smc4_dep_prometa_one_sister_labelled	0.664182579769307	0.583642	Fig4b
